hcpcs_code,payment_rate,description
84260,30.98,Assay of serotonin
84270,21.73,Assay of sex hormone globul
84275,13.44,Assay of sialic acid
84285,25.21,Assay of silica
84295,4.81,Assay of serum sodium
84300,5.06,Assay of urine sodium
84302,4.86,Assay of sweat sodium
84305,21.26,Assay of somatomedin
84307,18.28,Assay of somatostatin
84311,8.1,Spectrophotometry
84315,3.28,Body fluid specific gravity
84375,39.0,Chromatogram assay sugars
84376,5.5,Sugars single qual
84377,5.5,Sugars multiple qual
84378,11.53,Sugars single quant
84379,11.53,Sugars multiple quant
84392,5.49,Assay of urine sulfate
84393,128.92,Tau phosphorylated ea
84394,128.92,Total tau
84402,25.47,Assay of free testosterone
84403,25.81,Assay of total testosterone
84410,51.28,Testosterone bioavailable
84425,21.23,Assay of vitamin b-1
84430,11.63,Assay of thiocyanate
84431,35.11,Thromboxane urine
84432,16.06,Assay of thyroglobulin
84433,22.17,Asy thiopurin s-mthyltrnsfrs
84436,6.87,Assay of total thyroxine
84437,6.47,Assay of neonatal thyroxine
84439,9.02,Assay of free thyroxine
84442,14.78,Assay of thyroid activity
84443,16.8,Assay thyroid stim hormone
84445,50.86,Assay of tsi globulin
84446,14.18,Assay of vitamin e
84449,18.0,Assay of transcortin
84450,5.18,Transferase (ast) (sgot)
84460,5.3,Alanine amino (alt) (sgpt)
84466,12.76,Assay of transferrin
84478,5.74,Assay of triglycerides
84479,6.47,Assay of thyroid (t3 or t4)
84480,14.18,Assay triiodothyronine (t3)
84481,16.94,Free assay (ft-3)
84482,15.76,T3 reverse
84484,12.47,Assay of troponin quant
84485,7.2,Assay duodenal fluid trypsin
84488,7.3,Test feces for trypsin
84490,9.93,Assay of feces for trypsin
84510,10.63,Assay of tyrosine
84512,10.09,Assay of troponin qual
84520,3.95,Assay of urea nitrogen
84525,5.13,Urea nitrogen semi-quant
84540,5.56,Assay of urine/urea-n
84545,7.2,Urea-n clearance test
84550,4.52,Assay of blood/uric acid
84560,5.08,Assay of urine/uric acid
84577,16.8,Assay of feces/urobilinogen
84578,4.47,Test urine urobilinogen
84580,9.55,Assay of urine urobilinogen
84583,6.05,Assay of urine urobilinogen
84585,15.5,Assay of urine vma
84586,35.33,Assay of vip
84588,33.94,Assay of vasopressin
84590,11.61,Assay of vitamin a
84591,17.06,Assay of nos vitamin
84597,13.72,Assay of vitamin k
84600,17.11,Assay of volatiles
84620,12.91,Xylose tolerance test
84630,11.39,Assay of zinc
84681,20.81,Assay of c-peptide
84702,15.05,Chorionic gonadotropin test
84703,7.52,Chorionic gonadotropin assay
84704,15.29,Hcg free betachain test
84830,12.7,Ovulation tests
85002,4.82,Bleeding time test
85004,6.47,Automated diff wbc count
85007,3.8,Bl smear w/diff wbc count
85008,3.43,Bl smear w/o diff wbc count
85009,5.07,Manual diff wbc count b-coat
85013,7.0,Spun microhematocrit
85014,2.37,Hematocrit
85018,2.37,Hemoglobin
85025,7.77,Complete cbc w/auto diff wbc
85027,6.47,Complete cbc automated
85032,4.31,Manual cell count each
85041,3.02,Automated rbc count
85044,4.31,Manual reticulocyte count
85045,3.99,Automated reticulocyte count
85046,5.57,Reticyte/hgb concentrate
85048,2.54,Automated leukocyte count
85049,4.48,Automated platelet count
85055,35.74,Reticulated platelet assay
85130,11.89,Chromogenic substrate assay
85170,16.3,Blood clot retraction
85175,20.37,Blood clot lysis time
85210,12.98,Clot factor ii prothrom spec
85220,17.65,Blooc clot factor v test
85230,17.9,Clot factor vii proconvertin
85240,17.9,Clot factor viii ahg 1 stage
85244,20.42,Clot factor viii reltd antgn
85245,22.94,Clot factor viii vw ristoctn
85246,22.94,Clot factor viii vw antigen
85247,22.94,Clot factor viii multimetric
85250,19.04,Clot factor ix ptc/chrstmas
85260,17.9,Clot factor x stuart-power
85270,17.9,Clot factor xi pta
85280,19.35,Clot factor xii hageman
85290,16.34,Clot factor xiii fibrin stab
85291,9.11,Clot factor xiii fibrin scrn
85292,18.93,Clot factor fletcher fact
85293,18.93,Clot factor wght kininogen
85300,11.85,Antithrombin iii activity
85301,10.81,Antithrombin iii antigen
85302,12.01,Clot inhibit prot c antigen
85303,13.84,Clot inhibit prot c activity
85305,11.61,Clot inhibit prot s total
85306,15.32,Clot inhibit prot s free
85307,15.32,Assay activated protein c
85335,12.87,Factor inhibitor test
85337,17.27,Thrombomodulin
85345,4.69,Coagulation time lee & white
85347,4.28,Coagulation time activated
85348,4.49,Coagulation time otr method
85360,8.41,Euglobulin lysis
85362,6.89,Fibrin degradation products
85366,80.46,Fibrinogen test
85370,12.43,Fibrinogen test
85378,9.72,Fibrin degrade semiquant
85379,10.18,Fibrin degradation quant
85380,10.18,Fibrin degradj d-dimer
85384,9.72,Fibrinogen activity
85385,14.46,Fibrinogen antigen
85390,15.48,Fibrinolysins screen i&r
85397,30.86,Clotting funct activity
85400,7.71,Fibrinolytic plasmin
85410,7.71,Fibrinolytic antiplasmin
85415,17.19,Fibrinolytic plasminogen
85420,6.53,Fibrinolytic plasminogen
85421,10.18,Fibrinolytic plasminogen
85441,4.2,Heinz bodies direct
85445,6.82,Heinz bodies induced
85460,7.73,Hemoglobin fetal
85461,9.36,Hemoglobin fetal
85475,8.87,Hemolysin acid
85520,13.09,Heparin assay
85525,11.84,Heparin neutralization
85530,13.09,Heparin-protamine tolerance
85536,6.88,Iron stain peripheral blood
85540,8.6,Wbc alkaline phosphatase
85547,8.6,Rbc mechanical fragility
85549,18.75,Muramidase
85555,7.47,Rbc osmotic fragility
85557,13.36,Rbc osmotic fragility
85576,24.91,Blood platelet aggregation
85597,17.98,Phospholipid pltlt neutraliz
85598,17.98,Hexagnal phosph pltlt neutrl
85610,4.29,Prothrombin time
85611,3.94,Prothrombin test
85612,17.49,Viper venom prothrombin time
85613,9.58,Russell viper venom diluted
85635,9.85,Reptilase test
85651,4.27,Rbc sed rate nonautomated
85652,2.7,Rbc sed rate automated
85660,5.51,Rbc sickle cell test
85670,5.77,Thrombin time plasma
85675,6.85,Thrombin time titer
85705,9.63,Thromboplastin inhibition
85730,6.01,Thromboplastin time partial
85732,6.47,Thromboplastin time partial
85810,11.67,Blood viscosity examination
86000,6.98,Agglutinins febrile antigen
86001,7.82,Allergen specific igg
86003,5.22,Allg spec ige crude xtrc ea
86005,7.97,Allg spec ige multiallg scr
86008,17.93,Allg spec ige recomb ea
86015,12.05,Actin antibody each
86021,15.05,Wbc antibody identification
86022,18.37,Platelet antibodies
86023,12.46,Immunoglobulin assay
86036,12.05,Anca screen each antibody
86037,12.05,Anca titer each antibody
86038,12.09,Antinuclear antibodies
86039,11.16,Antinuclear antibodies (ana)
86041,18.4,Acetylcholn rcptr bndng antb
86042,18.4,Acetylcholn rcptr blckg antb
86043,12.05,Acetylcholn rcptr modlg antb
86051,11.53,Aquaporin-4 antb elisa
86052,12.05,Aquaporin-4 antb cba each
86053,37.73,Aqaprn-4 antb flo cytmtry ea
86060,7.3,Antistreptolysin o titer
86063,5.77,Antistreptolysin o screen
86140,5.18,C-reactive protein
86141,12.95,C-reactive protein hs
86146,25.45,Beta-2 glycoprotein antibody
86147,25.45,Cardiolipin antibody ea ig
86148,16.07,Anti-phospholipid antibody
86152,250.78,Cell enumeration & id
86155,15.99,Chemotaxis assay
86156,8.07,Cold agglutinin screen
86157,8.06,Cold agglutinin titer
86160,12.0,Complement antigen
86161,12.0,Complement/function activity
86162,20.32,Complement total (ch50)
86171,10.01,Complement fixation each
86200,12.95,Ccp antibody
86215,13.25,Deoxyribonuclease antibody
86225,13.74,Dna antibody native
86226,12.11,Dna antibody single strand
86231,12.09,Ema each ig class
86235,17.93,Nuclear antigen antibody
86255,12.05,Fluorescent antibody screen
86256,12.05,Fluorescent antibody titer
86258,12.05,Dgp antibody each ig class
86277,15.74,Growth hormone antibody
86280,8.19,Hemagglutination inhibition
86294,25.57,Immunoassay tumor qual
86300,20.81,Immunoassay tumor ca 15-3
86301,20.81,Immunoassay tumor ca 19-9
86304,20.81,Immunoassay tumor ca 125
86305,20.81,Human epididymis protein 4
86308,5.18,Heterophile antibody screen
86309,6.47,Heterophile antibody titer
86310,7.37,Heterophile antibody absrbj
86316,20.81,Immunoassay tumor other
86317,14.99,Immunoassay infectious agent
86318,18.09,Ia infectious agent antibody
86320,29.92,Serum immunoelectrophoresis
86325,23.13,Other immunoelectrophoresis
86328,45.28,Ia nfct ab sarscov2 covid19
86329,14.05,Immunodiffusion nes
86331,11.98,Immunodiffusion ouchterlony
86332,24.37,Immune complex assay
86334,22.34,Immunofix e-phoresis serum
86335,29.35,Immunfix e-phorsis/urine/csf
86336,15.59,Inhibin a
86337,21.41,Insulin antibodies
86340,15.08,Intrinsic factor antibody
86341,23.57,Islet cell antibody
86343,12.46,Leukocyte histamine release
86344,10.39,Leukocyte phagocytosis
86352,135.86,Cell function assay w/stim
86353,49.03,Lymphocyte transformation
86355,37.73,B cells total count
86356,26.78,Mononuclear cell antigen
86357,37.73,Nk cells total count
86359,37.73,T cells total count
86360,46.98,T cell absolute count/ratio
86361,26.78,T cell absolute count
86362,12.05,Mog-igg1 antb cba each
86363,37.73,Mog-igg1 antb flo cytmtry ea
86364,11.53,Tiss trnsgltmnase ea ig clas
86366,18.4,Muscle-specific kinase antb
86367,77.78,Stem cells total count
86376,14.55,Microsomal antibody each
86381,25.45,Mitochondrial antibody each
86382,16.91,Neutralization test viral
86384,13.61,Nitroblue tetrazolium dye
86386,21.78,Nuclear matrix protein 22
86403,11.54,Particle agglut antbdy scrn
86406,10.64,Particle agglut antbdy titr
86408,42.13,Neutrlzg antb sarscov2 scr
86409,79.61,Neutrlzg antb sarscov2 titer
86413,51.43,Sars-cov-2 antb quantitative
86430,6.14,Rheumatoid factor test qual
86431,5.67,Rheumatoid factor quant
86480,61.98,Tb test cell immun measure
86481,100.0,Tb ag response t-cell susp
86581,92.03,Strptcs pneum antb serot ia
86590,12.66,Streptokinase antibody
86592,4.27,Syphilis test non-trep qual
86593,4.4,Syphilis test non-trep quant
86596,12.05,Voltage-gtd ca chnl antb ea
86602,10.18,Antinomyces antibody
86603,12.87,Adenovirus antibody
86606,15.05,Aspergillus antibody
86609,12.88,Bacterium antibody
86611,10.18,Bartonella antibody
86612,12.9,Blastomyces antibody
86615,13.19,Bordetella antibody
86617,15.49,Lyme disease antibody
86618,17.03,Lyme disease antibody
86619,13.38,Borrelia antibody
86622,8.93,Brucella antibody
86625,13.12,Campylobacter antibody
86628,12.01,Candida antibody
86631,11.82,Chlamydia antibody
86632,12.68,Chlamydia igm antibody
86635,11.47,Coccidioides antibody
86638,12.12,Q fever antibody
86641,14.41,Cryptococcus antibody
86644,14.39,Cmv antibody
86645,16.85,Cmv antibody igm
86648,15.21,Diphtheria antibody
86651,13.19,Encephalitis californ antbdy
86652,13.19,Encephaltis east eqne anbdy
86653,13.19,Encephaltis st louis antbody
86654,13.19,Encephaltis west eqne antbdy
86658,13.03,Enterovirus antibody
86663,13.12,Epstein-barr antibody
86664,15.29,Epstein-barr nuclear antigen
86665,18.14,Epstein-barr capsid vca
86666,10.18,Ehrlichia antibody
86668,14.16,Francisella tularensis
86671,12.25,Fungus nes antibody
86674,14.72,Giardia lamblia antibody
86677,16.85,Helicobacter pylori antibody
86682,13.01,Helminth antibody
86684,15.84,Hemophilus influenza antibdy
86687,9.09,Htlv-i antibody
86688,14.0,Htlv-ii antibody
86689,19.35,Htlv/hiv confirmj antibody
86692,17.16,Hepatitis delta agent antbdy
86694,14.39,Herpes simplex nes antbdy
86695,13.19,Herpes simplex type 1 test
86696,19.35,Herpes simplex type 2 test
86698,13.79,Histoplasma antibody
86701,8.89,Hiv-1antibody
86702,13.52,Hiv-2 antibody
86703,13.71,Hiv-1/hiv-2 1 result antbdy
86704,12.05,Hep b core antibody total
86705,11.77,Hep b core antibody igm
86706,10.74,Hep b surface antibody
86707,11.57,Hepatitis be antibody
86708,12.39,Hepatitis a antibody
86709,11.26,Hepatitis a igm antibody
86710,13.55,Influenza virus antibody
86711,16.89,John cunningham antibody
86713,15.3,Legionella antibody
86717,12.25,Leishmania antibody
86720,16.2,Leptospira antibody
86723,13.19,Listeria monocytogenes
86727,12.87,Lymph choriomeningitis ab
86732,15.0,Mucormycosis antibody
86735,13.05,Mumps antibody
86738,13.24,Mycoplasma antibody
86741,13.19,Neisseria meningitidis
86744,15.99,Nocardia antibody
86747,15.03,Parvovirus antibody
86750,13.19,Malaria antibody
86753,12.39,Protozoa antibody nos
86756,15.89,Respiratory virus antibody
86757,19.35,Rickettsia antibody
86759,18.23,Rotavirus antibody
86762,14.39,Rubella antibody
86765,12.88,Rubeola antibody
86768,13.19,Salmonella antibody
86769,42.13,Sars-cov-2 covid-19 antibody
86771,24.48,Shigella antibody
86774,14.8,Tetanus antibody
86777,14.39,Toxoplasma antibody
86778,14.41,Toxoplasma antibody igm
86780,13.24,Treponema pallidum
86784,12.56,Trichinella antibody
86787,12.88,Varicella-zoster antibody
86788,16.85,West nile virus ab igm
86789,14.39,West nile virus antibody
86790,12.88,Virus antibody nos
86793,13.19,Yersinia antibody
86794,16.85,Zika virus igm antibody
86800,15.91,Thyroglobulin antibody
86803,14.27,Hepatitis c ab test
86804,15.49,Hep c ab test confirm
86805,189.51,Lymphocytotoxicity assay
86806,47.59,Lymphocytotoxicity assay
86807,78.65,Cytotoxic antibody screening
86808,29.68,Cytotoxic antibody screening
86812,25.81,Hla typing a b or c
86813,58.0,Hla typing a b or c
86816,30.17,Hla typing dr/dq
86817,106.14,Hla typing dr/dq
86821,36.56,Lymphocyte culture mixed
86825,109.49,Hla x-math non-cytotoxic
86826,36.53,Hla x-match noncytotoxc addl
86828,64.19,Hla class i&ii antibody qual
86829,64.19,Hla class i/ii antibody qual
86830,95.52,Hla class i phenotype qual
86831,81.88,Hla class ii phenotype qual
86832,323.75,Hla class i high defin qual
86833,325.8,Hla class ii high defin qual
86834,357.56,Hla class i semiquant panel
86835,322.96,Hla class ii semiquant panel
86850,9.77,Rbc antibody screen
86880,5.39,Coombs test direct
86885,5.72,Coombs test indirect qual
86886,5.18,Coombs test indirect titer
86900,2.99,Blood typing serologic abo
86901,2.99,Blood typing serologic rh(d)
86902,6.35,Blood type antigen donor ea
86904,16.34,Blood typing patient serum
86905,3.83,Blood typing rbc antigens
86906,7.75,Bld typing serologic rh phnt
86940,8.77,Hemolysins/agglutinins auto
86941,12.11,Hemolysins/agglutinins
87003,16.84,Small animal inoculation
87015,6.68,Specimen infect agnt concntj
87040,10.32,Blood culture for bacteria
87045,9.44,Feces culture aerobic bact
87046,9.44,Stool cultr aerobic bact ea
87070,8.62,Culture othr specimn aerobic
87071,9.89,Culture aerobic quant other
87073,9.66,Culture bacteria anaerobic
87075,9.47,Cultr bacteria except blood
87076,8.08,Culture anaerobe ident each
87077,8.08,Culture aerobic identify
87081,6.63,Culture screen only
87084,27.07,Culture of specimen by kit
87086,8.07,Urine culture/colony count
87088,8.09,Urine bacteria culture
87101,7.71,Skin fungi culture
87102,8.41,Fungus isolation culture
87103,20.46,Blood fungus culture
87106,10.32,Fungi identification yeast
87107,10.32,Fungi identification mold
87109,15.39,Mycoplasma
87110,19.6,Chlamydia culture
87116,10.8,Mycobacteria culture
87118,14.61,Mycobacteric identification
87140,5.57,Culture type immunofluoresc
87143,12.52,Culture typing glc/hplc
87147,5.18,Culture type immunologic
87149,20.05,Dna/rna direct probe
87150,35.09,Dna/rna amplified probe
87152,7.74,Culture type pulse field gel
87153,115.36,Dna/rna sequencing
87154,218.06,Cul typ id bld pthgn 6+ trgt
87158,7.74,Culture typing added method
87164,10.74,Dark field exam spec collj
87166,11.3,Dark field exam w/o collj
87168,4.27,Macroscopic exam arthropod
87169,4.31,Macroscopic exam parasite
87172,4.27,Pinworm exam
87176,5.88,Tissue homogenization cultr
87177,8.9,Ova and parasites smears
87181,4.75,Sc std agar dilution per agt
87183,35.09,Sc std carbapenem resist gen
87184,7.48,Sc std disk method per plate
87185,4.75,Sc std enzyme detcj per nzm
87186,8.65,Sc std microdil/agar dil
87187,40.17,Sc std microdil/agar mlc
87188,6.64,Sc std macrobroth dil meth
87190,7.31,Sc std myobacteria prop meth
87197,15.02,Serum bactericidal titer
87205,4.27,Smear gram stain
87206,5.39,Smear fluorescent/acid stai
87207,5.99,Smear special stain
87209,17.98,Smear complex stain
87210,5.82,Smear wet mount saline/ink
87220,4.27,Tissue exam for fungi
87230,19.74,Toxin/antitoxin asy tiss cul
87250,19.56,Virus inoculate eggs/animal
87252,26.07,Virus inoculation tissue
87253,20.2,Virus inoculate tissue addl
87254,19.56,Virus inoculation shell via
87255,33.86,Genet virus isolate hsv
87260,14.43,Adenovirus ag if
87265,11.98,Pertussis ag if
87267,13.42,Enterovirus antibody dfa
87269,13.61,Giardia ag if
87270,11.98,Chlamydia trachomatis ag if
87271,13.42,Cytomegalovirus dfa
87272,11.98,Cryptosporidium ag if
87273,11.98,Herpes simplex 2 ag if
87274,11.98,Herpes simplex 1 ag if
87275,12.25,Influenza b ag if
87276,16.07,Influenza a ag if
87278,15.6,Legion pneumophilia ag if
87279,16.43,Parainfluenza ag if
87280,13.42,Respiratory syncytial ag if
87281,11.98,Pneumocystis carinii ag if
87283,60.8,Rubeola ag if
87285,12.18,Treponema pallidum ag if
87290,13.42,Varicella zoster ag if
87299,16.1,Antibody detection nos if
87300,11.98,Ag detection polyval if
87301,11.98,Adenovirus ag ia
87305,11.98,Aspergillus ag ia
87320,15.0,Chlmyd trach ag ia
87324,11.98,Clostridium ag ia
87327,13.42,Cryptococcus neoform ag ia
87328,13.82,Cryptosporidium ag ia
87329,11.98,Giardia ag ia
87332,11.98,Cytomegalovirus ag ia
87335,12.66,E coli 0157 ag ia
87336,16.0,Entamoeb hist dispr ag ia
87337,11.98,Entamoeb hist group ag ia
87338,14.38,Hpylori stool ag ia
87339,16.0,H pylori ag ia
87340,10.33,Hepatitis b surface ag ia
87341,10.33,Hep b surface ag neutrlzj ia
87350,11.53,Hepatitis be ag ia
87380,18.36,Hepatitis delta agent ag ia
87385,13.25,Histoplasma capsul ag ia
87389,24.08,Hiv-1 ag w/hiv-1&-2 ab ag ia
87390,24.06,Hiv-1 ag ia
87391,21.9,Hiv-2 ag ia
87400,14.13,Influenza a/b each ag ia
87420,13.91,Resp syncytial virus ag ia
87425,11.98,Rotavirus ag ia
87426,35.33,Sarscov coronavirus ag ia
87427,11.98,Shiga-like toxin ag ia
87428,70.29,Sarscov & inf vir a&b ag ia
87430,16.81,Strep a ag ia
87449,11.98,Nos each organism ag ia
87451,10.51,Polyvalent mult org ea ag ia
87467,25.32,Hepatitis b surface ag quan
87468,35.09,Anaplsma phgcytophlm amp prb
87469,35.09,Babesia microti amp prb
87471,35.09,Bartonella dna amp probe
87472,42.84,Bartonella dna quant
87475,20.05,Lyme dis dna dir probe
87476,35.09,Lyme dis dna amp probe
87478,35.09,Borrelia miyamotoi amp prb
87480,20.05,Candida dna dir probe
87481,35.09,Candida dna amp probe
87482,55.74,Candida dna quant
87483,416.78,Cns dna amp probe type 12-25
87484,35.09,Ehrlicha chaffeensis amp prb
87485,20.05,Chlmyd pneum dna dir probe
87486,35.09,Chlmyd pneum dna amp probe
87487,42.84,Chlmyd pneum dna quant
87490,22.75,Chlmyd trach dna dir probe
87491,35.09,Chlmyd trach dna amp probe
87492,53.47,Chlmyd trach dna quant
87493,37.27,C diff amplified probe
87494,70.18,Chlmy trch&neisra gonor mult
87495,30.03,Cytomeg dna dir probe
87496,35.09,Cytomeg dna amp probe
87497,42.84,Cytomeg dna quant
87498,35.09,Enterovirus probe&revrs trns
87500,35.09,Vanomycin dna amp probe
87501,51.31,Influenza dna amp prob 1+
87502,95.8,Influenza dna amp probe
87503,29.22,Influenza dna amp prob addl
87505,128.29,Nfct agent detection gi
87506,262.99,Iadna-dna/rna probe tq 6-11
87507,416.78,Iadna-dna/rna probe tq 12-25
87510,20.05,Gardner vag dna dir probe
87511,35.09,Gardner vag dna amp probe
87512,41.76,Gardner vag dna quant
87513,35.09,H pylri clrthmcn rst amp prb
87516,35.09,Hepatitis b dna amp probe
87517,42.84,Hepatitis b dna quant
87520,31.22,Hepatitis c rna dir probe
87521,35.09,Hepatitis c probe&rvrs trnsc
87522,42.84,Hepatitis c revrs trnscrpj
87523,42.84,Hepatitis d quantification
87525,29.8,Hepatitis g dna dir probe
87526,39.26,Hepatitis g dna amp probe
87527,41.76,Hepatitis g dna quant
87528,20.05,Hsv dna dir probe
87529,35.09,Hsv dna amp probe
87530,42.84,Hsv dna quant
87531,58.0,Hhv-6 dna dir probe
87532,35.09,Hhv-6 dna amp probe
87533,41.76,Hhv-6 dna quant
87534,21.92,Hiv-1 dna dir probe
87535,35.09,Hiv-1 probe&reverse trnscrpj
87536,85.1,Hiv-1 quant&revrse trnscrpj
87537,21.92,Hiv-2 dna dir probe
87538,35.09,Hiv-2 probe&revrse trnscripj
87539,58.62,Hiv-2 quant&revrse trnscripj
87540,20.05,Legion pneumo dna dir prob
87541,35.09,Legion pneumo dna amp prob
87542,41.76,Legion pneumo dna quant
87550,20.05,Mycobacteria dna dir probe
87551,48.24,Mycobacteria dna amp probe
87552,42.84,Mycobacteria dna quant
87555,26.88,M.tuberculo dna dir probe
87556,41.68,M.tuberculo dna amp probe
87557,42.84,M.tuberculo dna quant
87560,27.29,M.avium-intra dna dir prob
87561,35.09,M.avium-intra dna amp prob
87562,42.84,M.avium-intra dna quant
87563,35.09,M. genitalium amp probe
87564,76.77,Mtb rifampin rst amp prb tq
87580,20.05,M.pneumon dna dir probe
87581,35.09,M.pneumon dna amp probe
87582,302.62,M.pneumon dna quant
87590,26.88,N.gonorrhoeae dna dir prob
87591,35.09,N.gonorrhoeae dna amp prob
87592,42.84,N.gonorrhoeae dna quant
87593,51.31,Orthopoxvirus amp prb each
87594,35.09,Pneumcysts jirovecii amp prb
87623,35.09,Hpv low-risk types
87624,35.09,Hpv hi-risk typ pooled rslt
87625,40.55,Hpv types 16 & 18 only
87626,70.2,Hpv sep hi-rsk typ&pool rslt
87627,679.77,Jt spc pthgn&rx rsist gen26+
87631,142.63,Resp virus 3-5 targets
87632,218.06,Resp virus 6-11 targets
87633,416.78,Resp virus 12-25 targets
87634,70.2,Rsv dna/rna amp probe
87635,51.31,Sars-cov-2 covid-19 amp prb
87636,142.63,Sarscov2 & inf a&b amp prb
87637,142.63,Sarscov2&inf a&b&rsv amp prb
87640,35.09,Staph a dna amp probe
87641,35.09,Mr-staph dna amp probe
87650,20.05,Strep a dna dir probe
87651,35.09,Strep a dna amp probe
87652,41.76,Strep a dna quant
87653,35.09,Strep b dna amp probe
87660,20.05,Trichomonas vagin dir probe
87661,35.09,Trichomonas vaginalis amplif
87662,51.31,Zika virus dna/rna amp probe
87797,30.03,Detect agent nos dna dir
87798,35.09,Detect agent nos dna amp
87799,42.84,Detect agent nos dna quant
87800,43.67,Detect agnt mult dna direc
87801,70.2,Detect agnt mult dna ampli
87802,12.73,Strep b assay w/optic
87803,16.0,Clostridium toxin a w/optic
87804,16.55,Influenza assay w/optic
87806,32.77,Hiv ag w/hiv1&2 antb w/optic
87807,13.1,Rsv assay w/optic
87808,15.29,Trichomonas assay w/optic
87809,21.76,Adenovirus assay w/optic
87810,35.29,Chlmyd trach assay w/optic
87811,41.38,Sars-cov-2 covid19 w/optic
87812,74.48,Sarscov2&inf typ a&b w/optic
87850,24.56,N. gonorrhoeae assay w/optic
87880,16.53,Strep a assay w/optic
87899,16.07,Agent nos assay w/optic
87900,130.35,Phenotype infect agent drug
87901,257.45,Nfct agt gntyp alys hiv1 rev
87902,257.45,Nfct agt gntyp alys hep c
87903,488.66,Phenotype dna hiv w/culture
87904,26.07,Phenotype dna hiv w/clt add
87905,12.22,Ia nzmtc actv oth/thn virus
87906,128.73,Nfct agt gntyp alys hiv1
87910,257.45,Nfct agt gntyp alys cmv
87912,257.45,Nfct agt gntyp alys hep b
87913,257.45,Nfct agt gntyp alys sarscov2
88130,17.98,Sex chromatin identification
88140,7.99,Sex chromatin identification
88142,20.26,Cytopath c/v thin layer
88143,23.04,Cytopath c/v thin layer redo
88147,50.56,Cytopath c/v automated
88148,18.54,Cytopath c/v auto rescreen
88150,18.54,Cytopath c/v manual
88152,27.64,Cytopath c/v auto redo
88153,24.03,Cytopath c/v redo
88155,14.65,Cytopath c/v index add-on
88164,18.54,Cytopath tbs c/v manual
88165,42.22,Cytopath tbs c/v redo
88166,18.54,Cytopath tbs c/v auto redo
88167,18.54,Cytopath tbs c/v select
88174,25.37,Cytopath c/v auto in fluid
88175,26.61,Cytopath c/v auto fluid redo
88230,116.49,Tissue culture lymphocyte
88233,140.73,Tissue culture skin/biopsy
88235,150.3,Tissue culture placenta
88237,143.75,Tissue culture bone marrow
88239,147.52,Tissue culture tumor
88240,13.07,Cell cryopreserve/storage
88241,12.09,Frozen cell preparation
88245,173.17,Chromosome analysis 20-25
88248,173.17,Chromosome analysis 50-100
88249,173.17,Chromosome analysis 100
88261,264.34,Chromosome analysis 5
88262,125.49,Chromosome analysis 15-20
88263,150.29,Chromosome analysis 45
88264,144.61,Chromosome analysis 20-25
88267,188.57,Chromosome analys placenta
88269,173.66,Chromosome analys amniotic
88271,21.42,Cytogenetics dna probe
88272,40.7,Cytogenetics 3-5
88273,34.81,Cytogenetics 10-30
88274,42.38,Cytogenetics 25-99
88275,51.19,Cytogenetics 100-300
88280,33.47,Chromosome karyotype study
88283,68.6,Chromosome banding study
88285,26.91,Chromosome count additional
88289,34.43,Chromosome study additional
88371,22.23,Protein western blot tissue
88372,26.22,Protein analysis w/probe
88720,5.02,Bilirubin total transcut
88738,5.02,Hgb quant transcutaneous
88740,9.37,Transcutaneous carboxyhb
88741,9.37,Transcutaneous methb
89050,4.72,Body fluid cell count
89051,5.6,Body fluid cell count
89055,4.27,Leukocyte assessment fecal
89060,7.33,Exam synovial fluid crystals
89125,5.88,Specimen fat stain
89160,4.85,Exam feces for meat fibers
89190,5.79,Nasal smear for eosinophils
89300,9.84,Semen analysis w/huhner
89310,8.61,Semen analysis w/count
89320,12.31,Semen anal vol/count/mot
89321,12.05,Semen anal sperm detection
89322,15.5,Semen anal strict criteria
89325,10.67,Sperm antibody test
89329,19.59,Sperm evaluation test
89330,10.38,Evaluation cervical mucus
89331,19.59,Retrograde ejaculation anal
G0027,6.5,Semen analysis
G0103,19.31,Psa screening
G0123,20.26,Screen cerv/vag thin layer
G0143,27.05,"Scr c/v cyto,thinlayer,rescr"
G0144,43.97,"Scr c/v cyto,thinlayer,rescr"
G0145,26.49,"Scr c/v cyto,thinlayer,rescr"
G0147,18.54,"Scr c/v cyto, automated sys"
G0148,31.94,"Scr c/v cyto, autosys, rescr"
G0306,7.77,Cbc/diffwbc w/o platelet
G0307,6.47,Cbc without platelet
G0328,18.05,Fecal blood scrn immunoassay
G0432,19.57,Eia hiv-1/hiv-2 screen
G0433,18.29,Elisa hiv-1/hiv-2 screen
G0435,11.98,Oral hiv-1/hiv-2 screen
G0471,11.34,Ven blood coll snf/hha
G0472,46.35,Hep c screen high risk/other
G0475,24.08,Hiv combination assay
G0476,35.09,Hpv combo assay ca screen
G0480,114.43,Drug test def 1-7 classes
G0481,156.59,Drug test def 8-14 classes
G0482,198.74,Drug test def 15-21 classes
G0483,246.92,Drug test def 22+ classes
G0499,28.27,Hepb screen high risk indiv
G0567,35.09,Screening hep c detect
G0659,62.14,Drug test def simple all cl
G9143,120.72,Warfarin respon genetic test
P2028,4.95,Cephalin floculation test
P2029,4.95,Congo red blood test
P2031,4.95,Hair analysis
P2033,4.95,Blood thymol turbidity
P2038,4.95,Blood mucoprotein
P3000,18.54,Screen pap by tech w md supv
P9612,9.34,Catheterize for urine spec
P9615,9.34,Urine specimen collect mult
